dataset,model,optimizer,fairness_applicable,fairness_status,methodology_note,demographic_parity_difference_count,demographic_parity_difference_mean,demographic_parity_difference_std,demographic_parity_difference_median,demographic_parity_difference_min,demographic_parity_difference_max,equal_opportunity_difference_count,equal_opportunity_difference_mean,equal_opportunity_difference_std,equal_opportunity_difference_median,equal_opportunity_difference_min,equal_opportunity_difference_max
adult,random_forest,bayesian,True,Configured (Sensitive Attribute: sex),Valid fairness metric computed against sensitive attribute 'sex'.,5,0.15995454318524369,0.007329001097669919,0.1623597623677268,0.1471147612007222,0.1654317632644045,5,0.08574645116090954,0.043431638929221285,0.07593984962406,0.0448031330862298,0.1431948612646765
adult,random_forest,random,True,Configured (Sensitive Attribute: sex),Valid fairness metric computed against sensitive attribute 'sex'.,5,0.17667642029427857,0.005499708496017938,0.1770658937538322,0.1701357750524134,0.1843982480461957,5,0.08295586056079465,0.04921919356804898,0.0562238930659982,0.0497786143796877,0.1647501711156741
adult,xgboost,bayesian,True,Configured (Sensitive Attribute: sex),Valid fairness metric computed against sensitive attribute 'sex'.,5,0.17288562044843753,0.004616548554255104,0.1722140745188116,0.166644070312784,0.1790148450744491,5,0.07032469179743404,0.0339007793771222,0.0671641373522623,0.0219973133932535,0.1124861791186226
adult,xgboost,random,True,Configured (Sensitive Attribute: sex),Valid fairness metric computed against sensitive attribute 'sex'.,5,0.16720721355972423,0.006883630527258947,0.1677598882564008,0.1570460480870608,0.1739084729182596,5,0.07830169780260977,0.03328516663213784,0.0755221386800334,0.0366107821715392,0.1242536724056231
bank_marketing,random_forest,bayesian,False,Not Configured (Sensitive Attribute: None),"Metric value 0.0 reflects lack of sensitive attribute tracking, NOT proof of absence of bias.",5,,,,,,5,,,,,
bank_marketing,random_forest,random,False,Not Configured (Sensitive Attribute: None),"Metric value 0.0 reflects lack of sensitive attribute tracking, NOT proof of absence of bias.",5,,,,,,5,,,,,
bank_marketing,xgboost,bayesian,False,Not Configured (Sensitive Attribute: None),"Metric value 0.0 reflects lack of sensitive attribute tracking, NOT proof of absence of bias.",5,,,,,,5,,,,,
bank_marketing,xgboost,random,False,Not Configured (Sensitive Attribute: None),"Metric value 0.0 reflects lack of sensitive attribute tracking, NOT proof of absence of bias.",5,,,,,,5,,,,,
wdbc,random_forest,bayesian,False,Not Configured (Sensitive Attribute: None),"Metric value 0.0 reflects lack of sensitive attribute tracking, NOT proof of absence of bias.",5,,,,,,5,,,,,
wdbc,random_forest,random,False,Not Configured (Sensitive Attribute: None),"Metric value 0.0 reflects lack of sensitive attribute tracking, NOT proof of absence of bias.",5,,,,,,5,,,,,
wdbc,xgboost,bayesian,False,Not Configured (Sensitive Attribute: None),"Metric value 0.0 reflects lack of sensitive attribute tracking, NOT proof of absence of bias.",5,,,,,,5,,,,,
wdbc,xgboost,random,False,Not Configured (Sensitive Attribute: None),"Metric value 0.0 reflects lack of sensitive attribute tracking, NOT proof of absence of bias.",5,,,,,,5,,,,,
