dataset,outer_fold,model,optimizer,runtime_seconds,best_objective_score,best_params,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,accuracy,balanced_accuracy,f1,roc_auc,demographic_parity_difference,equal_opportunity_difference,subsample,min_child_weight,learning_rate,colsample_bytree,fairness_applicable
wdbc,1,random_forest,random,39.09987860000547,0.9600276733500418,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 10}",100,2.0,1.0,sqrt,10.0,0.9649122807017544,0.9672453324598757,0.9545454545454546,0.9983622666229938,0.0,0.0,,,,,False
wdbc,1,random_forest,bayesian,57.29791770000156,0.9600276733500418,"{""n_estimators"": ""100"", ""max_depth"": ""12"", ""min_samples_split"": ""2"", ""min_samples_leaf"": ""1""}",100,2.0,1.0,,12.0,0.9649122807017544,0.9672453324598757,0.9545454545454546,0.9983622666229938,0.0,0.0,,,,,False
wdbc,1,xgboost,random,27.18358370000351,0.9487416457811194,"{""subsample"": 0.8, ""n_estimators"": 100, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",100,,,,3.0,0.9649122807017544,0.971830985915493,0.9555555555555556,0.9993449066491976,0.0,0.0,0.8,5.0,0.1,1.0,False
wdbc,1,xgboost,bayesian,38.190355500002624,0.9523548454469508,"{""n_estimators"": ""99"", ""max_depth"": ""6"", ""learning_rate"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.8587954217429437, ""min_child_weight"": ""3""}",99,,,,6.0,0.9736842105263158,0.9788732394366196,0.9662921348314608,0.9996724533245988,0.0,0.0,0.8,3.0,0.1,0.8587954217429437,False
wdbc,2,random_forest,random,37.81119159999798,0.9587536549707604,"{""n_estimators"": 100, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 20}",100,5.0,2.0,sqrt,20.0,0.9210526315789472,0.8999344906649198,0.8860759493670886,0.9810022928267278,0.0,0.0,,,,,False
wdbc,2,random_forest,bayesian,51.8324328000017,0.9634842314118628,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""min_samples_split"": ""5"", ""min_samples_leaf"": ""2""}",100,5.0,2.0,,6.0,0.9210526315789472,0.8999344906649198,0.8860759493670886,0.981329839502129,0.0,0.0,,,,,False
wdbc,2,xgboost,random,25.333465399999117,0.9559863199665832,"{""subsample"": 0.8, ""n_estimators"": 100, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",100,,,,3.0,0.9473684210526316,0.9394038650507696,0.9285714285714286,0.9901735997379626,0.0,0.0,0.8,1.0,0.1,1.0,False
wdbc,2,xgboost,bayesian,39.26245840000047,0.9594585421888052,"{""n_estimators"": ""96"", ""max_depth"": ""3"", ""learning_rate"": 0.08580471289095466, ""subsample"": 0.8026907822854119, ""colsample_bytree"": 0.8021203208593262, ""min_child_weight"": ""1""}",96,,,,3.0,0.9473684210526316,0.9394038650507696,0.9285714285714286,0.9888634130363576,0.0,0.0,0.8026907822854119,1.0,0.0858047128909546,0.8021203208593262,False
wdbc,3,random_forest,random,38.20063849999861,0.96656223893066,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": null}",100,2.0,1.0,log2,,0.9649122807017544,0.95734126984127,0.951219512195122,0.9910714285714286,0.0,0.0,,,,,False
wdbc,3,random_forest,bayesian,47.983121299999766,0.9631056808688389,"{""n_estimators"": ""51"", ""max_depth"": ""19"", ""min_samples_split"": ""7"", ""min_samples_leaf"": ""2""}",51,7.0,2.0,,19.0,0.9649122807017544,0.9523809523809524,0.95,0.988425925925926,0.0,0.0,,,,,False
wdbc,3,xgboost,random,25.88011290000577,0.9724624060150376,"{""subsample"": 1.0, ""n_estimators"": 100, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",100,,,,5.0,0.9736842105263158,0.9642857142857144,0.9629629629629628,0.9897486772486772,0.0,0.0,1.0,1.0,0.05,1.0,False
wdbc,3,xgboost,bayesian,39.26076019999891,0.9636382623224728,"{""n_estimators"": ""87"", ""max_depth"": ""7"", ""learning_rate"": 0.08072056917348926, ""subsample"": 0.8, ""colsample_bytree"": 0.9368871786039966, ""min_child_weight"": ""3""}",87,,,,7.0,0.956140350877193,0.945436507936508,0.9382716049382716,0.9834656084656084,0.0,0.0,0.8,3.0,0.0807205691734892,0.9368871786039966,False
wdbc,4,random_forest,random,39.83678990000044,0.95359231411863,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": null}",100,2.0,1.0,log2,,0.9473684210526316,0.9583333333333331,0.9333333333333332,0.995701058201058,0.0,0.0,,,,,False
wdbc,4,random_forest,bayesian,54.65545109999948,0.9517857142857142,"{""n_estimators"": ""72"", ""max_depth"": ""5"", ""min_samples_split"": ""6"", ""min_samples_leaf"": ""2""}",72,6.0,2.0,,5.0,0.9473684210526316,0.9533730158730158,0.9318181818181818,0.9957010582010584,0.0,0.0,,,,,False
wdbc,4,xgboost,random,26.29875469999388,0.9618316624895572,"{""subsample"": 1.0, ""n_estimators"": 50, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 0.8}",50,,,,3.0,0.9824561403508772,0.9861111111111112,0.9767441860465116,0.9983465608465608,0.0,0.0,1.0,1.0,0.1,0.8,False
wdbc,4,xgboost,bayesian,42.991232799999125,0.9647556390977444,"{""n_estimators"": ""100"", ""max_depth"": ""7"", ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""min_child_weight"": ""1""}",100,,,,7.0,0.9736842105263158,0.9791666666666669,0.9655172413793104,0.998015873015873,0.0,0.0,1.0,1.0,0.1,0.8,False
wdbc,5,random_forest,random,38.46879930000432,0.9501200918964078,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 10}",100,2.0,1.0,sqrt,10.0,0.9646017699115044,0.9572434607645876,0.951219512195122,0.9904426559356136,0.0,0.0,,,,,False
wdbc,5,random_forest,bayesian,51.65917640000407,0.9489505012531328,"{""n_estimators"": ""64"", ""max_depth"": ""19"", ""min_samples_split"": ""2"", ""min_samples_leaf"": ""1""}",64,2.0,1.0,,19.0,0.9646017699115044,0.9572434607645876,0.951219512195122,0.9914486921529174,0.0,0.0,,,,,False
wdbc,5,xgboost,random,26.199819500005106,0.9471961152882208,"{""subsample"": 0.8, ""n_estimators"": 100, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",100,,,,3.0,0.9557522123893806,0.9453386988598256,0.9382716049382716,0.9926224010731052,0.0,0.0,0.8,1.0,0.1,1.0,False
wdbc,5,xgboost,bayesian,43.65440160000435,0.9424133249791145,"{""n_estimators"": ""99"", ""max_depth"": ""6"", ""learning_rate"": 0.0758656921938754, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""min_child_weight"": ""2""}",99,,,,6.0,0.9557522123893806,0.9453386988598256,0.9382716049382716,0.994299128101945,0.0,0.0,0.8,2.0,0.0758656921938754,1.0,False
adult,1,random_forest,random,475.2075549000001,0.7739589827051007,"{""n_estimators"": 50, ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""max_depth"": null}",50,2.0,4.0,sqrt,,0.8627290408434845,0.7740439301338496,0.678031212484994,0.9123023346006528,0.1729589138964737,0.1647501711156741,,,,,True
