dataset,model,optimizer,accuracy_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_min,accuracy_max,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,f1_count,f1_mean,f1_std,f1_median,f1_min,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_median,roc_auc_min,roc_auc_max,demographic_parity_difference_count,demographic_parity_difference_mean,demographic_parity_difference_std,demographic_parity_difference_median,demographic_parity_difference_min,demographic_parity_difference_max,equal_opportunity_difference_count,equal_opportunity_difference_mean,equal_opportunity_difference_std,equal_opportunity_difference_median,equal_opportunity_difference_min,equal_opportunity_difference_max,runtime_seconds_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max
adult,random_forest,bayesian,5,0.863027665108226,0.003026232968132572,0.8627290408434845,0.8584152334152334,0.8661070733954346,5,0.7674206685838877,0.005526988053752512,0.7679097367868796,0.758960096559723,0.7740953183494396,5,0.6710869506644566,0.008488453690481946,0.6733252131546894,0.6575885120079228,0.6804374240583232,5,0.916490653897571,0.003236259705846263,0.9173819190755492,0.9127971923964516,0.9201547691910636,5,0.15995454318524369,0.007329001097669922,0.1623597623677268,0.1471147612007222,0.1654317632644045,5,0.08574645116090954,0.043431638929221285,0.07593984962406,0.0448031330862298,0.1431948612646765,5,523.1544194399976,48.71014722717023,515.0340335999936,462.8518131000019,596.7930085999978
adult,random_forest,random,5,0.8547560251137896,0.006256435376971797,0.8530044016787798,0.847051597051597,0.8627290408434845,5,0.7702248435320999,0.007402161685579837,0.7696256134097368,0.759704557927801,0.7796586101763956,5,0.6671043270371557,0.01266344730862182,0.6638830897703549,0.6494603472548099,0.6807620817843866,5,0.9025084808424175,0.006967643664037633,0.900712129003427,0.8934102169570661,0.9123023346006528,5,0.17667642029427857,0.005499708496017943,0.1770658937538322,0.1701357750524134,0.1843982480461957,5,0.08295586056079465,0.04921919356804898,0.0562238930659982,0.0497786143796877,0.1647501711156741,5,522.2086365600001,57.06913699926504,518.1549030000024,464.3003499999977,604.1871211999969
adult,xgboost,bayesian,5,0.873633308626655,0.0025138867950520436,0.8742833742833743,0.8692669942669943,0.8754095004095004,5,0.7960923118267639,0.005553508107339368,0.7990340329779336,0.7867719778487545,0.8000421161808882,5,0.7102461596789418,0.00755078021418055,0.7133876600698487,0.6970344009489917,0.7151883922302832,5,0.9284578079206505,0.0030040858308551153,0.9291642794346712,0.9249459153093548,0.9314551094430478,5,0.17288562044843753,0.004616548554255101,0.1722140745188116,0.166644070312784,0.1790148450744491,5,0.07032469179743403,0.0339007793771222,0.0671641373522623,0.0219973133932535,0.1124861791186226,5,10682.105294820001,23093.26764881428,363.52556259999983,325.5573691000027,51992.5874668
adult,xgboost,random,5,0.87011169942125,0.0031025240106889143,0.8708026208026208,0.8648648648648649,0.872965503122121,5,0.7838949038786136,0.006174586312580323,0.7845833795238981,0.7734655622484237,0.7892479014032221,5,0.6949800405426706,0.008988416454266682,0.6985669176584892,0.6793002915451894,0.7009478672985782,5,0.9256366263509701,0.0030758412626686565,0.9268007326945968,0.9213452384693672,0.9289323421462335,5,0.16720721355972423,0.006883630527258946,0.1677598882564008,0.1570460480870608,0.1739084729182596,5,0.07830169780260979,0.03328516663213784,0.0755221386800334,0.0366107821715392,0.1242536724056231,5,332.7687247000009,18.671272619696843,336.980733700002,310.8108999000033,352.8242337999982
bank_marketing,random_forest,bayesian,5,0.9044922141143681,0.002757904575697456,0.9053306790533068,0.900575094005751,0.9069998894172288,5,0.6771665673069188,0.009789663123015338,0.6805252755037485,0.6659770391444515,0.6861863512990449,5,0.48218106479158857,0.018249254843230873,0.4844574780058651,0.4607078584283143,0.5002970885323826,5,0.92157653789649,0.0034907154280565383,0.9194683859104318,0.9186400329013412,0.9265707914059088,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5,575.0544860599999,22.21352115803773,584.5938310999918,551.2480696999992,601.2619941000012
bank_marketing,random_forest,random,5,0.9047576567929045,0.0025313134180935328,0.9063363927900032,0.9010174740101748,0.9066578190665782,5,0.6747749763694761,0.0067818797525286715,0.6750362729239197,0.6673346844159669,0.6830644985623421,5,0.47913695080775287,0.013404458694970096,0.4769874476987448,0.4611679711017459,0.4949193066347878,5,0.9233957691786255,0.0035596002856351965,0.9230780204075448,0.9182242083410675,0.927525537843172,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5,610.045614080003,133.11786757096897,559.2337680000055,490.44162000001234,827.3017194999993
bank_marketing,xgboost,bayesian,5,0.9068146479880845,0.003030790903056445,0.9061048440610484,0.902897589028976,0.9099756690997568,5,0.7146490588255486,0.006154622963831766,0.7165731510279538,0.7083561953023318,0.7225994391658273,5,0.5380232826307008,0.01297745418054949,0.5398373983739837,0.5228260869565218,0.5536105032822757,5,0.9288444584458654,0.003466413637131692,0.9290238497087432,0.9234222225168672,0.9321944619696902,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5,286.2709831799963,40.79644250945906,278.16107719999854,246.7870506000036,352.5107616999885
bank_marketing,xgboost,random,5,0.9059299197769815,0.0027588781469569637,0.9075425790754258,0.9019022340190224,0.9083268826716796,5,0.6981561436859903,0.009144478533806358,0.6929549196133479,0.689430254649185,0.7090459273935394,5,0.5148632261814281,0.0157445633929851,0.5062093435836783,0.4997179921037789,0.5324384787472036,5,0.9245675550625577,0.0033802658179909084,0.9233000143954874,0.9206310778456724,0.928796609427175,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5,233.12385863999953,15.86905200478574,223.6917284999945,219.7404119999992,252.67843939999875
wdbc,random_forest,bayesian,5,0.9525694767893184,0.019169169305231475,0.9646017699115044,0.9210526315789472,0.9649122807017544,5,0.9460354504286702,0.026433323401925325,0.9533730158730158,0.8999344906649198,0.9672453324598757,5,0.9347318195851694,0.028606924261599137,0.95,0.8860759493670886,0.9545454545454546,5,0.9910535564810049,0.006645068897234859,0.9914486921529174,0.981329839502129,0.9983622666229938,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5,52.68561986000132,3.5017329110628284,51.8324328000017,47.983121299999766,57.29791770000156
wdbc,random_forest,random,5,0.9525694767893184,0.019169169305231475,0.9646017699115044,0.9210526315789472,0.9649122807017544,5,0.9480195774127973,0.027203642953141538,0.95734126984127,0.8999344906649198,0.9672453324598757,5,0.9352787523272241,0.028740746071099364,0.951219512195122,0.8860759493670886,0.9545454545454546,5,0.9913159404315645,0.006634638449563763,0.9910714285714286,0.9810022928267278,0.9983622666229938,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5,38.68345958000136,0.7974368763878683,38.46879930000432,37.81119159999798,39.83678990000044
wdbc,xgboost,bayesian,5,0.9613258810743673,0.011813369650315207,0.956140350877193,0.9473684210526316,0.9736842105263158,5,0.957643795590078,0.019666288470944367,0.945436507936508,0.9394038650507696,0.9791666666666669,5,0.9473848029317485,0.017366032461234967,0.9382716049382716,0.9285714285714286,0.9662921348314608,5,0.9928632951888765,0.006694977257569843,0.994299128101945,0.9834656084656084,0.9996724533245988,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5,40.671841700001096,2.4703504143445616,39.26245840000047,38.190355500002624,43.65440160000435
wdbc,xgboost,random,5,0.964834653004192,0.013931955146474233,0.9649122807017544,0.9473684210526316,0.9824561403508772,5,0.9613940750445827,0.019167465911984247,0.9642857142857144,0.9394038650507696,0.9861111111111112,5,0.952421147614946,0.019245669895635004,0.9555555555555556,0.9285714285714286,0.9767441860465116,5,0.9940472291111007,0.004529412992911753,0.9926224010731052,0.9897486772486772,0.9993449066491976,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5,26.179147240001477,0.6760593908835503,26.199819500005106,25.333465399999117,27.18358370000351
